LapNumber,is_lap_1,endpoint_TyreLife,Position,endpoint_Stint,LapTime_Seconds,stint_comp,endpoint_shouldpit,race_group
41.0,0,16,11.0,3,99.854,8.0,1,2022_R1.0
42.0,0,17,12.0,3,102.925,8.5,0,2022_R1.0
43.0,0,1,14.0,4,117.366,0.5,0,2022_R1.0
44.0,0,2,14.0,4,96.733,1.0,0,2022_R1.0
45.0,0,3,13.0,4,127.867,1.5,0,2022_R1.0
46.0,0,4,12.0,4,130.714,2.0,0,2022_R1.0
47.0,0,5,12.0,4,111.463,2.5,0,2022_R1.0
48.0,0,6,12.0,4,105.574,3.0,0,2022_R1.0
49.0,0,7,12.0,4,113.977,3.5,0,2022_R1.0
50.0,0,8,12.0,4,133.261,4.0,0,2022_R1.0
51.0,0,9,11.0,4,99.006,4.5,0,2022_R1.0
52.0,0,10,11.0,4,97.538,5.0,0,2022_R1.0
53.0,0,11,11.0,4,97.396,5.5,0,2022_R1.0
54.0,0,12,10.0,4,97.303,6.0,0,2022_R1.0
55.0,0,13,10.0,4,97.672,6.5,0,2022_R1.0
56.0,0,14,10.0,4,97.642,7.0,0,2022_R1.0
57.0,0,15,9.0,4,98.986,7.5,0,2022_R1.0
1.0,1,1,14.0,1,109.195,0.5,0,2022_R1.0
2.0,0,2,14.0,1,100.817,1.0,0,2022_R1.0
3.0,0,3,14.0,1,100.732,1.5,0,2022_R1.0
4.0,0,4,14.0,1,101.127,2.0,0,2022_R1.0
5.0,0,5,14.0,1,101.817,2.5,0,2022_R1.0
6.0,0,6,13.0,1,101.003,3.0,0,2022_R1.0
7.0,0,7,13.0,1,101.287,3.5,0,2022_R1.0
8.0,0,8,12.0,1,101.606,4.0,0,2022_R1.0
9.0,0,9,12.0,1,100.586,4.5,0,2022_R1.0
10.0,0,10,12.0,1,100.788,5.0,0,2022_R1.0
11.0,0,11,12.0,1,101.075,5.5,0,2022_R1.0
12.0,0,12,10.0,1,101.073,6.0,0,2022_R1.0
13.0,0,13,10.0,1,101.291,6.5,1,2022_R1.0
14.0,0,14,11.0,1,103.736,7.0,0,2022_R1.0
15.0,0,1,17.0,2,120.669,0.5,0,2022_R1.0
16.0,0,2,16.0,2,100.259,1.0,0,2022_R1.0
17.0,0,3,13.0,2,100.103,1.5,0,2022_R1.0
18.0,0,4,13.0,2,98.901,2.0,0,2022_R1.0
19.0,0,5,12.0,2,98.831,2.5,0,2022_R1.0
20.0,0,6,12.0,2,98.96,3.0,0,2022_R1.0
21.0,0,7,12.0,2,99.279,3.5,0,2022_R1.0
22.0,0,8,12.0,2,99.774,4.0,0,2022_R1.0
23.0,0,9,12.0,2,99.339,4.5,0,2022_R1.0
24.0,0,10,12.0,2,99.65,5.0,0,2022_R1.0
25.0,0,11,12.0,2,100.341,5.5,0,2022_R1.0
26.0,0,12,11.0,2,99.777,6.0,0,2022_R1.0
27.0,0,13,11.0,2,100.338,6.5,0,2022_R1.0
28.0,0,14,11.0,2,99.88,7.0,0,2022_R1.0
29.0,0,15,10.0,2,100.641,7.5,0,2022_R1.0
30.0,0,16,10.0,2,99.268,8.0,0,2022_R1.0
31.0,0,17,9.0,2,99.806,8.5,0,2022_R1.0
32.0,0,18,9.0,2,99.65,9.0,0,2022_R1.0
33.0,0,19,8.0,2,99.815,9.5,0,2022_R1.0
34.0,0,20,8.0,2,99.739,10.0,0,2022_R1.0
35.0,0,21,7.0,2,99.619,10.5,1,2022_R1.0
36.0,0,22,7.0,2,102.299,11.0,0,2022_R1.0
37.0,0,1,13.0,3,118.899,0.5,0,2022_R1.0
38.0,0,2,12.0,3,96.641,1.0,0,2022_R1.0
39.0,0,3,12.0,3,97.067,1.5,0,2022_R1.0
40.0,0,4,12.0,3,97.497,2.0,0,2022_R1.0
41.0,0,5,12.0,3,97.687,2.5,0,2022_R1.0
42.0,0,6,11.0,3,97.498,3.0,0,2022_R1.0
43.0,0,7,11.0,3,98.681,3.5,0,2022_R1.0
44.0,0,8,9.0,3,98.386,4.0,1,2022_R1.0
45.0,0,9,8.0,3,121.176,4.5,0,2022_R1.0
46.0,0,1,8.0,4,148.768,0.5,0,2022_R1.0
47.0,0,2,8.0,4,106.02,1.0,0,2022_R1.0
48.0,0,3,8.0,4,105.024,1.5,0,2022_R1.0
49.0,0,4,8.0,4,126.323,2.0,0,2022_R1.0
50.0,0,5,8.0,4,136.411,2.5,0,2022_R1.0
51.0,0,6,8.0,4,97.589,3.0,0,2022_R1.0
52.0,0,7,8.0,4,97.06,3.5,0,2022_R1.0
53.0,0,8,8.0,4,96.599,4.0,0,2022_R1.0
54.0,0,9,7.0,4,96.959,4.5,0,2022_R1.0
55.0,0,10,7.0,4,97.217,5.0,0,2022_R1.0
56.0,0,11,7.0,4,97.26,5.5,0,2022_R1.0
57.0,0,12,6.0,4,97.87,6.0,0,2022_R1.0
1.0,1,1,8.0,1,104.27,0.5,0,2022_R1.0
2.0,0,2,8.0,1,100.169,1.0,0,2022_R1.0
3.0,0,3,8.0,1,99.968,1.5,0,2022_R1.0
4.0,0,4,8.0,1,100.158,2.0,0,2022_R1.0
5.0,0,5,8.0,1,100.249,2.5,0,2022_R1.0
6.0,0,6,8.0,1,100.474,3.0,0,2022_R1.0
7.0,0,7,8.0,1,100.433,3.5,0,2022_R1.0
8.0,0,8,8.0,1,100.684,4.0,0,2022_R1.0
9.0,0,9,8.0,1,100.844,4.5,0,2022_R1.0
10.0,0,10,8.0,1,100.981,5.0,0,2022_R1.0
11.0,0,11,8.0,1,101.089,5.5,0,2022_R1.0
12.0,0,12,7.0,1,101.347,6.0,0,2022_R1.0
13.0,0,13,7.0,1,101.256,6.5,1,2022_R1.0
14.0,0,14,7.0,1,104.005,7.0,0,2022_R1.0
15.0,0,1,12.0,2,121.397,0.5,0,2022_R1.0
16.0,0,2,8.0,2,98.705,1.0,0,2022_R1.0
17.0,0,3,8.0,2,98.868,1.5,0,2022_R1.0
18.0,0,4,8.0,2,98.888,2.0,0,2022_R1.0
19.0,0,5,8.0,2,99.416,2.5,0,2022_R1.0
20.0,0,6,8.0,2,99.134,3.0,0,2022_R1.0
21.0,0,7,8.0,2,99.083,3.5,0,2022_R1.0
22.0,0,8,8.0,2,99.152,4.0,0,2022_R1.0
23.0,0,9,8.0,2,99.31,4.5,0,2022_R1.0
24.0,0,10,8.0,2,99.363,5.0,0,2022_R1.0
25.0,0,11,8.0,2,99.485,5.5,0,2022_R1.0
26.0,0,12,8.0,2,99.513,6.0,0,2022_R1.0
27.0,0,13,8.0,2,99.919,6.5,0,2022_R1.0
28.0,0,14,7.0,2,99.665,7.0,0,2022_R1.0
29.0,0,15,7.0,2,99.677,7.5,0,2022_R1.0
30.0,0,16,7.0,2,99.8,8.0,0,2022_R1.0
31.0,0,17,8.0,2,100.874,8.5,1,2022_R1.0
32.0,0,18,8.0,2,102.305,9.0,0,2022_R1.0
33.0,0,1,10.0,3,120.808,0.5,0,2022_R1.0
34.0,0,2,10.0,3,97.324,1.0,0,2022_R1.0
35.0,0,3,9.0,3,97.54,1.5,0,2022_R1.0
36.0,0,4,10.0,3,99.827,2.0,0,2022_R1.0
37.0,0,5,8.0,3,99.596,2.5,0,2022_R1.0
38.0,0,6,8.0,3,98.221,3.0,0,2022_R1.0
39.0,0,7,8.0,3,98.552,3.5,0,2022_R1.0
40.0,0,8,8.0,3,98.204,4.0,0,2022_R1.0
41.0,0,9,8.0,3,98.301,4.5,0,2022_R1.0
42.0,0,10,8.0,3,98.329,5.0,0,2022_R1.0
43.0,0,11,8.0,3,98.478,5.5,0,2022_R1.0
44.0,0,12,8.0,3,98.704,6.0,0,2022_R1.0
1.0,1,1,4.0,1,101.555,0.5,0,2022_R1.0
2.0,0,2,4.0,1,99.002,1.0,0,2022_R1.0
3.0,0,3,4.0,1,99.075,1.5,0,2022_R1.0
4.0,0,4,4.0,1,98.892,2.0,0,2022_R1.0
5.0,0,5,4.0,1,98.923,2.5,0,2022_R1.0
6.0,0,6,4.0,1,99.707,3.0,0,2022_R1.0
7.0,0,7,4.0,1,99.682,3.5,0,2022_R1.0
8.0,0,8,4.0,1,99.758,4.0,0,2022_R1.0
9.0,0,9,4.0,1,100.274,4.5,0,2022_R1.0
10.0,0,10,5.0,1,101.581,5.0,1,2022_R1.0
11.0,0,11,5.0,1,102.945,5.5,0,2022_R1.0
12.0,0,1,12.0,2,123.697,0.5,0,2022_R1.0
13.0,0,2,11.0,2,99.33,1.0,0,2022_R1.0
14.0,0,3,10.0,2,99.309,1.5,0,2022_R1.0
15.0,0,4,6.0,2,98.587,2.0,0,2022_R1.0
16.0,0,5,5.0,2,98.236,2.5,0,2022_R1.0
17.0,0,6,5.0,2,98.644,3.0,0,2022_R1.0
18.0,0,7,5.0,2,98.368,3.5,0,2022_R1.0
19.0,0,8,5.0,2,98.393,4.0,0,2022_R1.0
20.0,0,9,5.0,2,98.606,4.5,0,2022_R1.0
21.0,0,10,5.0,2,98.542,5.0,0,2022_R1.0
22.0,0,11,5.0,2,99.407,5.5,0,2022_R1.0
23.0,0,12,5.0,2,99.109,6.0,0,2022_R1.0
24.0,0,13,5.0,2,99.342,6.5,0,2022_R1.0
25.0,0,14,5.0,2,99.186,7.0,0,2022_R1.0
26.0,0,15,5.0,2,99.255,7.5,1,2022_R1.0
27.0,0,16,5.0,2,101.666,8.0,0,2022_R1.0
28.0,0,1,8.0,3,121.276,0.5,0,2022_R1.0
29.0,0,2,8.0,3,97.871,1.0,0,2022_R1.0
30.0,0,3,8.0,3,97.506,1.5,0,2022_R1.0
31.0,0,4,7.0,3,96.66,2.0,0,2022_R1.0
32.0,0,5,7.0,3,98.29,2.5,0,2022_R1.0
33.0,0,6,6.0,3,97.085,3.0,0,2022_R1.0
34.0,0,7,5.0,3,97.593,3.5,0,2022_R1.0
35.0,0,8,5.0,3,97.47,4.0,0,2022_R1.0
36.0,0,9,5.0,3,97.66,4.5,0,2022_R1.0
37.0,0,10,5.0,3,97.771,5.0,0,2022_R1.0
38.0,0,11,5.0,3,97.942,5.5,0,2022_R1.0
39.0,0,12,5.0,3,97.668,6.0,0,2022_R1.0
40.0,0,13,5.0,3,97.898,6.5,0,2022_R1.0
41.0,0,14,5.0,3,97.912,7.0,0,2022_R1.0
42.0,0,15,5.0,3,98.422,7.5,0,2022_R1.0
43.0,0,16,5.0,3,98.205,8.0,1,2022_R1.0
44.0,0,17,4.0,3,101.007,8.5,0,2022_R1.0
45.0,0,1,6.0,4,131.741,0.5,0,2022_R1.0
46.0,0,2,5.0,4,131.044,1.0,0,2022_R1.0
47.0,0,3,5.0,4,126.318,1.5,0,2022_R1.0
48.0,0,4,5.0,4,119.093,2.0,0,2022_R1.0
49.0,0,5,5.0,4,139.798,2.5,0,2022_R1.0
50.0,0,6,5.0,4,140.564,3.0,0,2022_R1.0
51.0,0,7,5.0,4,96.487,3.5,0,2022_R1.0
52.0,0,8,5.0,4,96.36,4.0,0,2022_R1.0
53.0,0,9,5.0,4,96.228,4.5,0,2022_R1.0
54.0,0,10,4.0,4,96.354,5.0,0,2022_R1.0
55.0,0,11,4.0,4,96.566,5.5,0,2022_R1.0
56.0,0,12,4.0,4,96.481,6.0,0,2022_R1.0
57.0,0,13,3.0,4,96.918,6.5,0,2022_R1.0
1.0,1,1,15.0,1,109.698,0.5,0,2022_R1.0
2.0,0,2,15.0,1,101.077,1.0,0,2022_R1.0
3.0,0,3,15.0,1,100.638,1.5,0,2022_R1.0
4.0,0,4,15.0,1,101.189,2.0,0,2022_R1.0
5.0,0,5,16.0,1,102.49,2.5,0,2022_R1.0
6.0,0,6,16.0,1,101.995,3.0,0,2022_R1.0
7.0,0,7,16.0,1,101.912,3.5,0,2022_R1.0
8.0,0,8,16.0,1,102.177,4.0,0,2022_R1.0
9.0,0,9,17.0,1,103.773,4.5,0,2022_R1.0
10.0,0,10,17.0,1,103.228,5.0,0,2022_R1.0
11.0,0,11,17.0,1,102.603,5.5,0,2022_R1.0
12.0,0,12,15.0,1,102.821,6.0,0,2022_R1.0
13.0,0,13,15.0,1,101.942,6.5,0,2022_R1.0
14.0,0,14,15.0,1,102.959,7.0,0,2022_R1.0
15.0,0,15,13.0,1,102.819,7.5,0,2022_R1.0
16.0,0,16,12.0,1,103.615,8.0,0,2022_R1.0
17.0,0,17,15.0,1,104.45,8.5,0,2022_R1.0
18.0,0,18,17.0,1,103.59,9.0,1,2022_R1.0
19.0,0,19,17.0,1,105.242,9.5,0,2022_R1.0
20.0,0,1,20.0,2,123.711,0.5,0,2022_R1.0
21.0,0,2,20.0,2,99.18,1.0,0,2022_R1.0
22.0,0,3,20.0,2,99.307,1.5,0,2022_R1.0
23.0,0,4,20.0,2,99.22,2.0,0,2022_R1.0
24.0,0,5,20.0,2,99.307,2.5,0,2022_R1.0
25.0,0,6,19.0,2,99.689,3.0,0,2022_R1.0
26.0,0,7,19.0,2,99.506,3.5,0,2022_R1.0
27.0,0,8,19.0,2,99.84,4.0,0,2022_R1.0
28.0,0,9,19.0,2,102.651,4.5,0,2022_R1.0
29.0,0,10,19.0,2,102.181,5.0,0,2022_R1.0
30.0,0,11,19.0,2,100.483,5.5,0,2022_R1.0
31.0,0,12,19.0,2,100.473,6.0,0,2022_R1.0
32.0,0,13,18.0,2,101.036,6.5,0,2022_R1.0
33.0,0,14,18.0,2,100.07,7.0,0,2022_R1.0
34.0,0,15,18.0,2,104.369,7.5,0,2022_R1.0
35.0,0,16,18.0,2,100.815,8.0,0,2022_R1.0
36.0,0,17,17.0,2,100.658,8.5,1,2022_R1.0
37.0,0,18,17.0,2,103.481,9.0,0,2022_R1.0
38.0,0,1,20.0,3,122.368,0.5,0,2022_R1.0
39.0,0,2,20.0,3,98.819,1.0,0,2022_R1.0
40.0,0,3,20.0,3,98.751,1.5,0,2022_R1.0
41.0,0,4,20.0,3,98.361,2.0,0,2022_R1.0
42.0,0,5,20.0,3,99.671,2.5,0,2022_R1.0
43.0,0,6,20.0,3,100.222,3.0,1,2022_R1.0
44.0,0,7,20.0,3,113.374,3.5,0,2022_R1.0
45.0,0,1,19.0,4,148.352,0.5,0,2022_R1.0
46.0,0,2,19.0,4,119.839,1.0,0,2022_R1.0
47.0,0,3,19.0,4,119.877,1.5,0,2022_R1.0
48.0,0,4,19.0,4,113.739,2.0,0,2022_R1.0
49.0,0,5,19.0,4,98.201,2.5,0,2022_R1.0
50.0,0,6,19.0,4,98.299,3.0,0,2022_R1.0
51.0,0,7,19.0,4,98.243,3.5,0,2022_R1.0
52.0,0,8,19.0,4,98.599,4.0,0,2022_R1.0
53.0,0,9,19.0,4,98.452,4.5,0,2022_R1.0
54.0,0,10,19.0,4,98.533,5.0,0,2022_R1.0
55.0,0,11,18.0,4,99.236,5.5,0,2022_R1.0
56.0,0,12,18.0,4,99.102,6.0,0,2022_R1.0
57.0,0,13,17.0,4,101.18,6.5,0,2022_R1.0
1.0,1,1,5.0,1,102.333,0.5,0,2022_R1.0
2.0,0,2,5.0,1,98.993,1.0,0,2022_R1.0
3.0,0,3,6.0,1,101.224,1.5,0,2022_R1.0
4.0,0,4,6.0,1,99.642,2.0,0,2022_R1.0
5.0,0,5,7.0,1,101.169,2.5,0,2022_R1.0
6.0,0,6,7.0,1,100.338,3.0,0,2022_R1.0
7.0,0,7,7.0,1,100.555,3.5,0,2022_R1.0
8.0,0,8,7.0,1,100.451,4.0,0,2022_R1.0
9.0,0,9,7.0,1,100.756,4.5,0,2022_R1.0
10.0,0,10,7.0,1,101.195,5.0,0,2022_R1.0
11.0,0,11,7.0,1,101.064,5.5,0,2022_R1.0
12.0,0,12,6.0,1,101.37,6.0,0,2022_R1.0
13.0,0,13,6.0,1,101.283,6.5,1,2022_R1.0
14.0,0,14,6.0,1,104.244,7.0,0,2022_R1.0
