year,raceId,driverId,LapNumber,Position,LapTime_Str,LapTime_Seconds,TyreLife,LapTime_Delta,Stint,ShouldPit
2022,Abu Dhabi Grand Prix,kevin_magnussen,56,17,1:32.782,92.782,10,0.23299999999998988,1,0
2022,Abu Dhabi Grand Prix,latifi,1,19,1:42.508,102.50800000000001,1,0.0,1,0
2022,Abu Dhabi Grand Prix,latifi,2,19,1:34.752,94.75200000000001,2,-7.756,1,0
2022,Abu Dhabi Grand Prix,latifi,3,19,1:33.218,93.218,3,-1.534000000000006,1,0
2022,Abu Dhabi Grand Prix,latifi,4,19,1:32.741,92.741,4,-0.47700000000000387,1,0
2022,Abu Dhabi Grand Prix,latifi,5,19,1:32.895,92.89500000000001,5,0.15400000000001057,1,0
2022,Abu Dhabi Grand Prix,latifi,52,19,1:32.213,92.213,6,-0.6820000000000164,1,0
2022,Abu Dhabi Grand Prix,latifi,53,19,1:32.773,92.773,7,0.5600000000000023,1,0
2022,Abu Dhabi Grand Prix,latifi,54,19,1:36.411,96.411,8,3.6380000000000052,1,1
2022,Abu Dhabi Grand Prix,latifi,55,19,2:02.068,122.068,9,25.656999999999996,1,1
2022,Abu Dhabi Grand Prix,leclerc,1,3,1:34.192,94.19200000000001,1,0.0,1,0
2022,Abu Dhabi Grand Prix,leclerc,2,3,1:30.996,90.996,2,-3.196000000000012,1,0
2022,Abu Dhabi Grand Prix,leclerc,3,3,1:30.418,90.418,3,-0.5779999999999887,1,0
2022,Abu Dhabi Grand Prix,leclerc,4,3,1:31.167,91.167,4,0.7489999999999952,1,0
2022,Abu Dhabi Grand Prix,leclerc,5,3,1:31.356,91.356,5,0.18899999999999295,1,0
2022,Abu Dhabi Grand Prix,leclerc,53,2,1:29.879,89.879,6,-1.4769999999999897,1,0
2022,Abu Dhabi Grand Prix,leclerc,54,2,1:30.095,90.095,7,0.21599999999999397,1,0
2022,Abu Dhabi Grand Prix,leclerc,55,2,1:30.151,90.151,8,0.055999999999997385,1,0
2022,Abu Dhabi Grand Prix,leclerc,56,2,1:30.033,90.033,9,-0.117999999999995,1,0
2022,Abu Dhabi Grand Prix,leclerc,57,2,1:29.829,89.82900000000001,10,-0.20399999999999352,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,1,1,1:32.198,92.19800000000001,1,0.0,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,2,1,1:30.541,90.541,2,-1.6570000000000107,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,3,1,1:29.968,89.968,3,-0.5729999999999933,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,4,1,1:30.368,90.368,4,0.3999999999999915,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,5,1,1:30.502,90.502,5,0.13400000000000034,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,53,1,1:30.065,90.065,6,-0.4369999999999976,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,54,1,1:29.392,89.392,7,-0.6730000000000018,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,55,1,1:29.715,89.715,8,0.3230000000000075,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,56,1,1:29.844,89.844,9,0.12899999999999068,1,0
2022,Abu Dhabi Grand Prix,max_verstappen,57,1,1:29.891,89.89099999999999,10,0.046999999999997044,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,1,13,1:39.723,99.723,1,0.0,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,2,14,1:33.725,93.725,2,-5.998000000000005,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,3,14,1:32.196,92.196,3,-1.5289999999999964,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,4,15,1:34.204,94.20400000000001,4,2.0080000000000098,1,1
2022,Abu Dhabi Grand Prix,mick_schumacher,5,16,1:33.757,93.757,5,-0.44700000000000273,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,52,16,1:32.340,92.34,6,-1.4170000000000016,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,53,17,1:34.483,94.483,7,2.1430000000000007,1,1
2022,Abu Dhabi Grand Prix,mick_schumacher,54,17,1:33.907,93.907,8,-0.5760000000000076,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,55,17,1:32.570,92.57,9,-1.3370000000000033,1,0
2022,Abu Dhabi Grand Prix,mick_schumacher,56,16,1:34.761,94.761,10,2.1910000000000025,1,1
2022,Abu Dhabi Grand Prix,norris,1,6,1:35.908,95.908,1,0.0,1,0
2022,Abu Dhabi Grand Prix,norris,2,6,1:31.693,91.693,2,-4.215000000000003,1,0
2022,Abu Dhabi Grand Prix,norris,3,6,1:31.188,91.188,3,-0.5049999999999955,1,0
2022,Abu Dhabi Grand Prix,norris,4,6,1:31.266,91.26599999999999,4,0.07799999999998875,1,0
2022,Abu Dhabi Grand Prix,norris,5,7,1:32.208,92.208,5,0.9420000000000073,1,0
2022,Abu Dhabi Grand Prix,norris,52,7,1:29.785,89.785,6,-2.423000000000002,1,0
2022,Abu Dhabi Grand Prix,norris,53,7,1:30.164,90.164,7,0.3790000000000049,1,0
2022,Abu Dhabi Grand Prix,norris,54,7,1:30.631,90.631,8,0.46699999999999875,1,0
2022,Abu Dhabi Grand Prix,norris,55,6,1:30.825,90.825,9,0.19400000000000261,1,0
2022,Abu Dhabi Grand Prix,norris,56,6,1:30.931,90.931,10,0.10599999999999454,1,0
2022,Abu Dhabi Grand Prix,norris,57,6,1:30.884,90.884,11,-0.046999999999997044,1,0
2022,Abu Dhabi Grand Prix,ocon,1,8,1:36.964,96.964,1,0.0,1,0
